Judul,Berita
"Bawa Jimat Tes CPNS, Dosen UM Surabaya: Keberuntungan Harusnya Seperti Ini","KOMPAS.com - Beberapa waktu lalu terdapat peserta yang ikut Seleksi Kompetensi Dasar Calon Pegawai Negeri Sipil (SKD CPNS) Kementerian Hukum dan Hak Manusia (Kemenkumham) Jawa Timur yang didapati membawa jimat.
Padahal, barang seperti itu (jimat tes CPNS) tidak ada dalam persyaratan yang boleh dibawa oleh peserta tes CPNS.
Adapun jimat atau rajah yang dibawa oleh beberapa peserta diantaranya, batu yang dibalut dengan kain berwarna putih, kertas bertuliskan rajah arab hingga daun kering. Bahkan ditemukan pula peserta yang membawa garam hingga bunga kantil.
Lantas, apakah jimat itu selalu berhubungan dengan mitos keberuntungan? Atau semuanya itu hanya hasil dari kepercayaan dan kebudayaan?
Dosen Fakultas Agama Islam UM Surabaya, Febriyanto Firman Wijaya menjelaskan bahwa akan menjadi heran ketika perkembangan teknologi yang sangat masif ternyata masih banyak masyarakat yang percaya.
Bahkan mempraktikkan mengenai benda-benda ritual tertentu, mitos, jimat dan hal mistis yang sangat di percayai membawa keberuntungan.
Definisi Jimat, dalam konteks keberuntungan, dapat diartikan sebagai benda yang diyakini membawa keberuntungan atau melindungi pemiliknya dari malapetaka.
Sedangkan mitos keberuntungan juga mencakup keyakinan pada praktik tertentu atau tindakan yang diyakini dapat membawa keberuntungan.
Perspektif dari banyak orang yang masih memegang teguh kepercayaan pada jimat dan mitos adalah keberuntungan.
Beberapa ahli meyakini bahwa efek keberuntungan dari jimat dan mitos lebih bersifat psikologis dan terkait dengan kepercayaan individu.















"
"Tepergok Ambil Kelapa, Pria di Banyuwangi Bacok Satpam Perkebunan","BANYUWANGI, KOMPAS.com - Febri (25), warga Dusun Sumberwringin, Desa Kalibaru Manis, Kecamatan Kalibaru, Kabupaten Banyuwangi, Jawa Timur, ditangkap polisi.
Pemuda itu diringkus Tim Macan Blambangan Polresta Banyuwangi di Denpasar, Bali, saat kabur setelah membacok Misyanto (52), sekuriti perkebunan Lonsum Indonesia.
Kapolresta Banyuwangi Kombes Pol Deddy Foury Millewa mengatakan, pembacokan itu terjadi pada Minggu (5/11/2023).
Saat itu, pelaku kepergok mengambil kelapa di area perkebunan yang beroperasi di Dusun Sumberwuni, Desa Kalibaru Manis, Kecamatan Kalibaru.
Korban yang mengetahui aksi tersebut, kemudian menegur pelaku.
""Tersangka ini tidak terima karena ditegur oleh sekuriti. Akhirnya, membacok dengan celurit,"" kata Deddy, Selasa (14/11/2023).
Akibatnya, korban mengalami luka parah di bagian kepala dan harus menjalani perawatan di Rumah Sakit Bhakti Husada Krikilan Glenmore. Saat ini, kondisi korban sudah mulai membaik.
Usut punya usut, ternyata pelaku pembacokan tersebut pernah dihukum karena melakukan penganiayaan menggunakan senjata tajam.
""Tersangka pernah divonis 1 tahun, 8 bulan penjara atas kasus serupa pada 2021,"" ungkap Kapolresta.
Atas peristiwa tersebut, tersangka kini dijerat dengan pasal berlapis. Pertama, Pasal 351 KUHP tentang penganiayaan berat dengan ancaman hukuman penjara 5 tahun.
""Kemudian, Pasal 365 KUHP tentang pencurian dengan kekerasan dengan ancaman pidana paling lama 9 tahun,"" jelasnya.
















"
Kejari Sumbawa Usut Dugaan Korupsi Dana Bumdes Tepal Rp 700 Juta,"SUMBAWA, KOMPAS.com - Kejaksaan Negeri (Kejari) Sumbawa, Nusa Tenggara Barat (NTB) menyelidiki dugaan korupsi di Badan Usaha Milik Desa (Bumdes) Alang Desa Tepal, Kecamatan Batulanteh, Kabupaten Sumbawa, Nusa Tenggara Barat (NTB).
Demikian disampaikan Kasi Tindak Pidana Khusus (Pidsus) Kejari Sumbawa, Indra Zulkarnain.
“Benar, kami sedang proses penyelidikan dugaan korupsi di BUMDes Tepal sekitar Rp 700 juta,” kata Indra saat ditemui, Selasa (14/11/2023).
Menurut Indra, dalam waktu dekat, Kejaksaan akan memanggil pihak-pihak terkait dalam kasus tersebut.
""Sejumlah pihak akan dipanggil untuk pemeriksaan sebagai saksi,"" sebut Indra.
Ia meminta para pihak yang dipanggil untuk bersikap kooperatif.
""Saya minta guna menuntaskan kasus ini semua pihak yang akan dipanggil kooperatif datang penuhi pemeriksaan,"" paparnya.
Sebelumnya, AA, mantan Kepala Desa Tepal Kecamatan Batulanteh, Kabupaten Sumbawa, dilaporkan ke kantor Kejaksaan oleh masyarakat setempat pada pertengahan tahun 2023 atas dugaan korupsi dana Bumdes sebesar Rp 700 juta.
Masyarakat sebagai pelapor yang menamai dirinya Tim Peduli Bumdes Alang, Desa Tepal, Kecamatan Batulanteh, Kabupaten Sumbawa mengatakan dalam penyaluran dana Bumdes kepada masyarakat, banyak yang tidak jelas, tidak sesuai nominal dan pembelian sejumlah alat musik dan pengeluaran terindikasi janggal dan mengarah ke dugaan korupsi.














"
118 Riders Akan Tampil di Aquabike Jetski World Championship Danau Toba 2023,"KOMPAS.com - Event olahraga air bertaraf internasional, Aquabike Jetski World Championship akan menyemarakkan Pesta Rakyat Danau Toba. 
Untuk pertama kalinya, Pesta Rakyat Danau Toba akan diselenggarakan selama 5 hari dari tanggal 22 – 26 November 2023 di 4 Kabupaten yakni Samosir, Karo, Dairi, dan Toba.
Bagi para warga dan wisatawan yang akan berkunjung ke event tersebut tidak dipungut biaya alias gratis.
Sebelumnya, pemerintah berkolaborasi telah menyelenggarakan F1Powerboat di Danau Toba pada Februari 2023 silam dan mampu menyedot sekitar 50 ribu pengunjung untuk event yang berlangsung selama 3 hari.
Untuk event ini, pemerintah memperkirakan jumlah penonton dapat mencapai 80 ribu hingga 100 ribu.
“Untuk Aquabike Jetski World Championship, yang dilaksanakan selama 5 hari di 4 kabupaten, kami perkirakan bisa menarik lebih banyak pengunjung sekitar 80 ribu hingga 100 ribu penonton,"" kata Direktur Pemasaran dan Pariwisata InJourney, Maya Watono.
""Kami ingin ke depan Pesta Rakyat Danau Toba ini bisa menjadi festival yang meriah, yang mampu menarik lebih banyak wisatawan. Dengan demikian sustainable development of tourism and water sport ini bisa terjaga di Danau Toba,” tutur dia menambahkan.
Aquabike Jetski World Championship Danau Toba 2023 akan diikuti 118 riders dari 22 negara.
Mereka terdiri dari 77 riders kategori circuit dan 41 riders kategori endurance.
Tiga riders Indonesia sudah mengkonfirmasi keikutsertaannya pada Aquabike Jetski World Championship.














"
"Serukan Pilih Partai Partai Tertentu, Kadisdik Kalsel Diperiksa Bawaslu","BANJARMASIN, KOMPAS.com - Kepala Dinas Pendidikan Kalimantan Selatan (Kalsel) Muhammadun memenuhi panggilan Badan Pengawas Pemilu (Bawaslu) Kalsel.
Pemanggilan dirinya terkait dugaan pelanggaran Pemilihan Umum (Pemilu) 2024. Muhammadun sebelumnya menghadiri ulang tahun salah satu sekolah.
Dalam acara itu, Muhammadun diminta untuk membawakan sambutan. Dalam sambutan itulah dirinya menyerukan untuk mencoblos partai tertentu.
Video sambutannya yang berdurasi 1 menit 52 detik kemudian viral di media sosial dan membuat Bawaslu Kalsel turun tangan.
Pemeriksaan terhadap Muhammadun sudah dilakukan Bawaslu, pada Senin (13/11/2023).
Komisioner Bawaslu Kalsel, Thessa Aji Budiono mengatakan, tak hanya Muhammadun, pihaknya juga memanggil sejumlah pihak untuk melengkapi materi pemeriksaan.
""Setelah ini kami akan melakukan kajian lebih lanjut terkait keterangan yang kami peroleh dengan bukti-bukti yang kita miliki,” ujar Thessa, dalam keterangannya yang diterima, Selasa (14/11/2023).
Setelah melakukan pemeriksaan terhadap Muhammadun, Thessa belum bisa membeberkan hasilnya.
Menurut Thessa, akan ada pleno terlebih dulu kemudian diputuskan apakah akan dilanjutkan ke instansi berwenang, yaitu Komisi Aparatur Sipil Negara (KASN).
“Nanti akan ada putusan pleno dari Bawaslu Provinsi Kalsel, apakah ini akan kita lanjutkan ke instansi yang berwenang. Hasilnya akan kami sampaikan secepatnya. Mudah-mudahan dalam minggu ini, paling tidak Jumat sudah ada penyampaian informasi lebih lanjutnya seperti apa,"" pungkas dia.
Sementara itu, Muhammadun mengaku saat pemeriksaan, dirinya hanya ditanyakan hal yang umum saja.
Dia pun mengaku tidak ada maksud apa-apa dengan ucapannya dan hanya spontanitas saja.
""Tadi hanya ditanyakan hal-hal yang umum saja. Intinya spontanitas saja, tidak ada maksud apa-apa,"" ujar Muhammadun.














"
Ratu Tisha: Piala Dunia U-17 2023 sebagai Kesempatan Pembelajaran untuk PSSI dan Indonesia,"Menurut Ratu Tisha, pengelolaan sepak bola tidak hanya terkait dengan aspek teknis, tetapi juga melibatkan sejumlah sektor lain yang terlibat.
Oleh karena itu, Piala Dunia U-17 2023 diharapkan menjadi platform pembelajaran tentang bagaimana mengatur sepak bola secara optimal.
“Yang pertama pastinya untuk sepak bola. Karena, turnamen ini, seusai tema yang ditetapkan FIFA, yakni ‘Inspiring Stars’, harus menjadi satu hal yang menginspirasi orang-orang yang nantinya akan menjadi talenta yang terlibat di bidang sepak bola,” kata Ratu Tisha dalam sesi konferensi pers di Information Center Piala Dunia U-17 2023 di Hotel Zolia Zigna, Solo, Selasa (14/11/2023).
“Tidak hanya pemain, tetapi juga pelatih, wasit, administrator, seluruh area event organizer, media communication, brand, dan lain-lain, agar bisa menginspirasi bagaimana Piala Dunia U-17 2023 diselenggarakan sesuai dengan standar FIFA,” lanjutnya.
Mantan Sekretaris Jenderal (Sekjen) PSSI pada periode 2017-2020 ini menegaskan bahwa Piala Dunia U-17 2023 bertindak sebagai wadah transfer pengetahuan.
FIFA menunjuk tuan rumah turnamen ini untuk membantu pengembangan sepak bola di negara yang menjadi tuan rumah.
“Ini bisa merefleksikan kembali knowledge yang telah diterima kepada liga kita sendiri. Karena, pada akhirnya, kepercayaan yang telah diberikan FIFA untuk menggelar Piala Dunia U-17 2023 ini alasan utamanya yakni untuk football development. Jadi yang pertama, dampak dalam lingkup yang kecil adalah dalam lingkup sepak bolanya,” ujar Tisha yang menjadi salah satu lulusan terbaik pendidikan FIFA Master tersebut.
Selain itu, Tisha, yang juga merupakan alumnus program FIFA Masters, menyadari pentingnya manajemen pertandingan yang perlu dipelajari dari penyelenggaraan Piala Dunia U-17 2023.
Oleh karena itu, pihaknya telah menempatkan orang-orang tertentu dalam komite penyelenggaraan kejuaraan ini untuk dapat menerapkan pengalaman mereka dalam mengelola kompetisi sepak bola secara lebih efektif.














"
"8 Hotel di Yogyakarta dengan View Pantai, Cocok buat Healing","KOMPAS.com - Yogyakarta terkenal dengan jajaran pantai selatan yang indah. Kamu bisa menikmati panorama pantai tersebut dari sejumlah hotel di pinggir pantai Yogyakarta.
Beberapa hotel di Yogyakarta dengan view pantai tersebut juga menyediakan infinity pool sehingga wisatawan bisa menyaksikan panorama sunset atau sunrise dari kolam renang.
Kompas.com merangkum hotel di Yogyakarta dengan view pantai, sebagai berikut:
Dok. Edge Resort Yogyakarta Edge Resort Yogyakarta. Salah satu hotel di Yogyakarta dengan view pantai.

Edge Resort merupakan resor ramah lingkungan yang berada di tebing serta menawarkan panorama langsung ke laut selatan. Berdasarkan informasi dari situs resminya, Edge Resort memiliki infinity pool outdoor yang menawarkan pemandagan ke laut selatan.
Selain itu terdapat rumah tradisional Jawa yang tersebuat dari kayu jati serta berusia 200 tahun. Pengunjung bisa mendengar suara deburan ombak dan kicauan burung dari Edge Resort lantaran dikelilingi dengan hutan.
Alamat Edge Resort berada di Jalan Gua Langse, Giricahyo, Kecamatan Purwosari, Kabupaten Gunungkidul. Tarif menginap di Edge Resort mulai dari Rp 1,3 juta per malam, lewat Agoda.
Dok. Queen of the South Resort Infinity Pool di Queen of the South Resort
Queen of The South Resort memadukan konsep bangunan tradisional Jawa dan Bali. Nuansa Bali terlihat dari interior kamar, yang sebagaian besar menghadap langsung ke laut selatan.
Sementara, konsep Jawa klasik terlihat pada salah satu bangunan, yakni Majapahit Lounge. Queen of the South Resort terletak di atas tebing batu yang langsung menghadap ke laut selatan.
Hotel ini berjarak sekitar 2 kilometer (km) dari Pantai Parangtritis, teparnya di Jalan Parangrejo Nomor 13, Girijati, Purwosari, Kabupaten Gunungkidul. Tarif menginap di Queen of The South Resort mulai dari Rp 839.000, lewat Agoda.
Instagram @segara_inessya Restoran Segara by Inessya, Gunungkidul, Yogyakarta
Inessya Resort berlokasi di Jalan Ke Puncak Tim, Rejosari, Kemadang, Tanjungsari, Gunungkidul. Akomodasi ini memiliki fasilitas infinity pool yang menawarkan panorama langsung laut selatan.
Banyak sudut-sudut Instagramable di Inessya Resort yang cocok buat berfoto. Ada fasilitas yang cukup lengkap bagi tamu, seperti TV, AC, wifi, restoran dan balkon yang menghadap laut, hingga paket barbekyu.
Tarif menginap di Inessya Resort dibanderol mulai dari Rp 1,2 juta hingga Rp 3 juta per malam.
Tak jauh dari Inessya Resort, kamu bisa menjumpai Pins Homestay. Bangunan Pins Homestay terbuat dari kayu dan batu bata sehingga terkesan homey.
Terdapat halaman luas di depan bangunan kamar, yang diisi dengan taman tertata rapi. Dari lokasi taman tersebut, pengunjung bisa menyaksikan panorama langsung ke laut selatan.
Tarif menginap di Pins Homestay cukup terjangkau, mulai dari Rp 500.000-an per malam. Sementara, tipe family room dibanderol mulai dari Rp 800.000-an per malam. 
Sebuah kiriman dibagikan oleh Kompas Travel (@kompas.travel)














"
10 Contoh Kalimat Bermajas Hiperbola,"KOMPAS.com - Salah satu majas yang ada dalam pelajaran Bahasa Indonesia adalah majas hiperbola.
Dilansir dari buku Ultralengkap Peribahasa Indonesia, Majas, Plus Pantun, Puisi, dan Kata Baku Bahasa Indonesia (2019) oleh Nur Indah Sholikhati, majas hiperbola termasuk dalam salah satu majas yang sering digunakan untuk mengungkapkan suatu pertentangan.
Majas hiperbola merupakan gaya bahasa yang mengandung suatu pernyataan dengan melebih-lebihkan suatu hal yang ditandai dengan pernyataan berlebihan dan melampaui kenyataan yang ada.
Adapun tujuan dari majas hiperbola adalah untuk mencuri perhatian dari para pembaca.
Dikutip dari buku Get Success UN Bahasa Indonesia (2008) oleh Nani Darmayanti, berikut beberapa contoh kalimat bermajas hiperbola""
Itulah pengertian dari majas hiperbola beserta sepuluh contoh kalimatnya.














"
"Setelah Tak Lagi Menjadi Ibu Kota Negara, Jakarta Optimis Menuju Kota Global","KOMPAS.com – Saat ini, Jakarta sedang bersiap menyandang predikat baru, yaitu sebagai Global City atau Kota Global. Meski akan menyandang status baru, Jakarta masih perlu melakukan pembenahan dan peningkatan dari berbagai sisi, termasuk ekonomi dan pembangunan.
Perubahan Jakarta sebagai Kota Global menyusul pengesahan Undang-undang (UU) Nomor 3 Tahun 2022 tentang Ibu Kota Negara (IKN) Nusantara. Hal ini sesuai dengan arahan Presiden Indonesia Joko Widodo yang meminta agar Jakarta ditetapkan sebagai pusat kegiatan ekonomi berskala global.
Menyikapi keputusan tersebut, Penjabat (Pj) Gubernur Jakarta Heru Budi Hartono menjelaskan, beberapa kriteria penting untuk menjadi Kota Global yang kompetitif.
“Pertama, Jakarta harus mapan dan terkoneksi secara global dengan memiliki skala ekonomi yang berdaya saing, pengembangan yang baik, sumber daya tenaga yang kompetitif, dan terhubung secara global yang ditunjukkan dengan keberadaan perusahaan internasional dan skala besar,” kata Heru dalam keterangan yang diterima Kompas.com, Senin (6/11/2023).
Kedua, lanjut Heru, Jakarta harus memiliki ruang yang nyaman untuk dihuni dengan kelengkapan infrastruktur dasar perkotaan yang baik. Menurutnya, hal ini dapat mendorong perwujudan kualitas sumber daya manusia (SDM) yang baik dari sisi kesehatan dan pendidikan serta kemudahan mengakses informasi.
Ketiga, Jakarta harus mampu menarik wisatawan untuk berkunjung dengan menawarkan daya tarik wisata budaya lewat event internasional, seperti konser dan olahraga. Karena itu, perlu ditunjang dengan infrastruktur wisata, seperti stadion, museum, teater, serta fasilitas penunjang lainnya.
Keempat, Jakarta harus memiliki lingkungan yang bersih, nyaman, dan berkelanjutan. Terakhir, Jakarta mesti memiliki aksesibilitas yang terkoneksi secara intra dan inter-kota, seperti moda transportasi dalam kota yang nyaman dan bebas hambatan.
“Sebagai Kota Global, Jakarta memiliki peran penting dalam pengintegrasian ekonomi transnasional. Dalam hal ini menjadi primary node pada jaringan ekonomi dunia, yang mampu menarik modal, barang, sumber daya manusia, gagasan, serta informasi secara global,” jelas Heru.
Ia melanjutkan, jika mengacu pada arahan pengembangan kota dalam Rencana Tata Ruang Tata Wilayah (RTRW), yang akan dilakukan adalah mengembangkan sistem pusat pelayanan kota berbasis transit dan dipusatkan pada area radius 800 meter dari titik transit dengan sistem transportasi umum yang terintegrasi.
“Jakarta juga akan menyediakan infrastruktur digital untuk mendukung aktivitas masyarakat dan ekonomi kota. Dipertimbangkan pula pengembangan hunian dan revitalisasi lingkungan, sumber daya air, serta percepatan penyediaan infrastruktur dasar perkotaan,” ucap Heru.
Dengan pengesahan UU Nomor 3 Tahun 2022 tentang IKN Nusantara, Jakarta harus bersiap untuk menanggalkan perannya sebagai ibu kota. Jakarta harus berbenah dari berbagai sisi agar dapat menjadi pusat perekonomian dengan skala yang lebih besar, demi mendorong sektor teknologi, inovasi, pariwisata, dan industri. 
Kepala Badan Perencana Pembangunan Daerah (Bappeda) Provinsi DKI Jakarta Atika Nur Rahmania menyikapi transisi ini dengan optimistis. Menurutnya, kesempatan ini akan menjadi peluang bagi Jakarta untuk bertransformasi dan berkembang ke arah yang lebih baik.
""Jakarta harus bersiap dengan visi dan misi baru sebagai arah pengembangan kota, baik untuk jangka pendek maupun jangka panjang. Dengan melihat keunggulan fisik dan nonfisik, sudah saatnya Jakarta dapat menyejajarkan diri dengan kota-kota global lainnya dengan upaya, strategi, dan peningkatan standar pembangunan,"" ungkap Atika melalui keterangan tertulis yang diterima Kompas.com, Jumat (10/11/2023). 
Dalam mewujudkan Jakarta sebagai Kota Global, Atika menilai bahwa semua pemangku kepentingan memiliki peran yang sangat penting, mulai dari pemerintah pusat, pemerintah daerah, akademisi, hingga masyarakat Jakarta sendiri. 
Sebab, menurut Atika, pengembangan Kota Global juga akan menghadapi banyak tantangan. Misalnya saja, aspek livability kota dan infrastruktur, karena kepadatan dan mobilitas penduduk serta sumber daya manusia. 














"
"Uang Pangkal Kuliah Kedokteran 4 PTN di Sumatera, Unsri hinggga USU","KOMPAS.com - Calon mahasiswa yang berada di Pulau Sumatera dan ingin kuliah Kedokteran, ada beberapa perguruan tinggi negeri (PTN) yang bisa kamu pilih.
Bagi yang mendaftar Kedokteran lewat Jalur Mandiri, selain Uang Kuliah Tunggal (UKT), kamu juga wajib membayar uang pangkal.
Kompas.com rangkumkan biaya uang pangkal kuliah Kedokteran di beberapa perguruan tinggi negeri (PTN) yang ada di Pulau Sumatera.
Seperti Universitas Sriwijaya (Unsri), Universitas Sumatera Utara (USU), Universitas Andalas (Unand) hingga Universirtas Negeri Padang (UNP).
Uang pangkal kuliah Kedokteran ini penting untuk diketahui sebagai gambaran dana pendidikan yang harus dipersiapkan jika kamu mendaftar Kedokteran di jalur mandiri 2024.
Dilansir dari masing-masing laman kampus, berikut uang pangkal 5 PTN di Sumatera mengacu pada biaya kuliah 2023/2024:
1. S1 Kedokteran Universitas Andalas (Unand)
SPP per semester: Rp 14,5 jutaBiaya pengembangan: Rp 100 juta
Informasi biaya kuliah bisa dibaca di laman https://pmb.unand.ac.id/ukt-uang-kuliah-tunggal/.
2. S1 Pendidikan Dokter Universitas Sriwijaya (Unsri)














"
Menteri Basuki: MLFF Ini Salah Satu KPI Saya,"""Ini juga salah satu KPI saya, untuk menyaksikan MLFF sukses pada masa depan,"" ujar Basuki dalam acara Hunindotech 4.0 di Jakarta, Selasa (14/11/2023).
Adapun uji coba MLFF kini sudah menemukan titik terang dan akan dilaksanakan di Jalan Tol Bali Mandara pada pekan kedua bulan Desember 2023.
Uji coba perdana ini dilakukan di satu gate Tol Bali Mandara. Kemudian akan dilakukan evaluasi dan diperluas di gate lain
""Akhir Desember nanti kita evaluasi, kalau itu bagus, berhasil, kita expand. Kalau ada yang kurang, kita improve dulu baru coba lagi baru kita expand,"" imbuh Basuki.
Lalu, setelah dinyatakan berhasil diuji coba di Tol Bali Mandara, MLFF akan diuji coba di 6 ruas tol lain di Pulau Jawa.
""Dari Bali, Bali kan terbatas, kalau ada apa-apa enggak terlalu chaos, nanti kalau udah berhasil baru di Jakarta, perkotaan dulu,"" lanjut Basuki.
Pada kesempatan yang sama, Direktur Jenderal (Dirjen) Bina Marga Hedy Rahadian menjelaskan, uji coba MLFF perdana ini masih menggunakan barrier untuk mencegah kerugian.
""Nanti kalau sudah data registrasinya membaik, kita baru copot,"" tegas Hedy.














"
"Ibu di Kota Malang Menangis Dapati Putrinya ""Open BO"" dan Diamankan Pol PP","Kepala Bidang (Kabid) Ketentraman dan Ketertiban Umum (KKU) Satpol PP Kota Malang, Rahmat Hidayat mengatakan, peristiwa tersebut terjadi pada Senin (13/11/2023) malam. 
Sebelumnya, pihaknya merazia rumah kos di Jalan Sigura-gura, Kecamatan Lowokwaru. Hasilnya didapati ada belasan muda-mudi yang diamankan petugas.
""Yang kami amankan salah satunya ada anak wanita dari ibu tersebut, ibu itu kemudian datang ke kantor dan mungkin merasa sedih melihat anaknya seperti itu,"" kata Rahmat, Selasa (14/11/2023). 
Wanita tersebut diketahui berinisial L (18) yang diamankan bersama dua orang temannya, yakni satu perempuan dan satu laki-laki. Hasil pemeriksaan, L diduga sedang ""open BO"" atau prostitusi online. 
""Jadi wanita ini bersama satu temannya yang juga wanita berusia 16 tahun. Kepada kami bilangnya hanya menemani. Tetapi temannya yang laki ngakunya hanya mencarikan tempat untuk check-in. Tetapi ketiganya kami amankan,"" katanya. 
Kemudian, ketiganya akan dilakukan pembinaan secara rutin dan wajib lapor bersama orangtuanya. Sebab, dikhawatirkan yang bersangkutan kembali mengulangi perbuatannya, yakni praktik prostitusi online. 
""Yang satu cewek masih 16 tahun ini kan ngakunya hanya menemani saja. Sudah kami minta untuk wajib lapor dengan orangtuanya. Karena kami khawatirkan, ini ikut-ikutan temannya yang sudah ngaku 'open BO'. Jadi dilakukan pembinaan,"" katanya. 
Selain itu, Satpol PP Kota Malang juga mengamankan enam pasangan muda-mudi lain yang bukan pasangan suami istri di rumah kos yang sama, dan mereka ditindak. 
Totalnya, ada 5 orang yang dikenai tindak pidana ringan (tipiring). Yakni 4 orang pemuda berinisial NC (23), AY (23), IS (21), IF (20) dan seorang pemudi berinisial NA (23). Kelima pemuda dan pemudi ini dikenakan tipiring sebagai penghuni kos. 
Kelima orang ini dikenai tipiring karena aturan dalam pemondokan dilarang menerima tamu yang berlawanan jenis. Aturan tersebut tertuang dalam Perda Kota Malang Nomor 6 tahun 2006.
Selain itu, pemuda dan pemudi lainnya dikenai pembinaan. Sedangkan untuk pemilik rumah kos juga akan diperiksa.
Tindakan ini mengacu pada Perda yang sama bahwa pemilik kos juga dilarang menyelenggarakan pemondokan berlawanan jenis. 
""Kami berusaha untuk melakukan penertiban agar tidak banyak rumah kos bebas di Kota Malang. Tentu bisa mencemari predikat Kota Malang yang dikenal sebagai kota pendidikan,"" katanya.














"
"Tuntutan Haris-Fatia di Kasus Pencemaran Nama Baik Luhut Dinilai Tak Obyektif, Jadi Alarm Bahaya bagi Demokrasi","JAKARTA, KOMPAS.com - Tim Advokasi untuk Demokrasi menyayangkan tuntutan jaksa penuntut umum (JPU) kepada Koordinator Kontras 2020-2023, Fatia Maulidiyanti dan Pendiri Lokataru, Haris Azhar, dalam kasus dugaan pencemaran nama baik Menko Maritim dan Investasi Luhut Binsar Panjaitan.
 Dalam sidang di Pengadilan Negeri Jakarta Timur (PN Jaktim), Haris Azhar dituntut hukuman maksimal 4 tahun penjara, sedangkan Fatia dituntut 3 tahun 6 bulan kurungan penjara.
 Anggota Tim Advokasi untuk Demokrasi, Nurkholis Hidayat, menyebut tuntutan JPU terhadap Haris dan Fatia tidak obyektif.
 “Kami menilai bahwa tuntutan ini jauh dari obyektif, sebab didasarkan pada ketidaksukaan, bukan pada pertimbangan hukum yang relevan. Fakta-fakta yang dijabarkan pun sangat tendensius dan penuh dengan karangan,” kata Nurkholis dalam keterangan tertulis, Selasa (14/11/2023). 
Tim Advokasi untuk Demokrasi menyampaikan sudah mengajukan alat bukti surat pada pemeriksaan saksi dan ahli untuk memperkuat pembuktian bahwa Fatia dan Haris tidak bersalah.
 Akan tetapi, JPU dinilai telah mengesampingkan proses pembuktian di persidangan.
 Sebab, JPU tidak menyinggung persoalan kebebasan berekspresi, konflik kepentingan pejabat hingga narasi Anti Strategic Lawsuit Against Public Participation (Anti-SLAPP) yang merupakan inti dari kritik Haris dan Fatia kepada Luhut..
 “Justru, Jaksa menyatakan semua isu yang diangkat merupakan rekayasa,” ujar Nurkholis.
 Nurkholis menambahkan bahwa tuntutan JPU merupakan bagian dari ""Malicious Prosecution"" atau wujud kriminalisasi karena tuntutan tidak berdasarkan hasil-hasil pembuktian di persidangan.
 “Tuntutan yang dibacakan Jaksa memiliki muatan permusuhan pribadi, bias, atau alasan lain di luar kepentingan keadilan. Hal ini dapat dilihat dari tuntutan pidana maksimal yakni penjara 4 tahun dan Jaksa menyatakan bahwa tidak ada satu pun alasan yang meringankan,” tambah dia.
Anggota Tim Advokasi untuk Demokrasi lainnya, Muhammad Isnur, menilai tuntutan terhadap Haris dan Fatia ini merupakan bentuk menginjak-nginjak hukum sekaligus alarm berbahaya bagi situasi demokrasi khususnya kebebasan sipil di Indonesia. 
 Selain itu, menurut Isnur, tuntutan ini semakin mempertegas bahwa JPU merupakan institusi penegak hukum yang memberikan sumbangsih besar terhadap buruknya situasi HAM, khususnya kebebasan dalam berpendapat. 
 “Jaksa pun bertindak tidak profesional karena melahirkan tuntutan manipulatif, jahat dan politis. Terlebih penggunaan UU ITE lagi-lagi menegaskan bahwa produk hukum ini problematik, bersifat karet, dan menggerus hak-hak digital masyarakat,” ucap Isnur.
 Selain itu, Isnur menyebut JPU melakukan tuduhan yang sangat serius lantaran menganggap masyarakat sipil melakukan tindakan kriminal, tetapi sering berdalih pada HAM dan kebebasan.
 “Jaksa bahkan mengutip quote dari buzzer di akhir surat tuntutannya. Hal ini memperlihatkan bobroknya institusi Kejaksaan selama ini,” ujar dia. 
 Sebagaimana diketahui, kasus ini bermula saat Haris dan Fatia berbincang dalam podcast di Youtube berjudul ""Ada Lord Luhut di Balik Relasi Ekonomi-OPS Militer Intan Jaya!! Jenderal BIN Juga Ada!! NgeHAMtam"". 
 Dalam video tersebut, Haris dan Fatia menyebut Luhut ""bermain"" dalam bisnis tambang di Intan Jaya, Papua.
 Keberatan dengan tudingan itu, Luhut melaporkan keduanya ke polisi atas perkara pencemaran nama baik. Kasus ini pun bergulir di persidangan. 
 Dalam tuntutannya, JPU menilai bahwa baik Haris dan Fatia dianggap secara sah dan meyakinkan bersalah melanggar Pasal 27 ayat 3 juncto Pasal 45 ayat 3 Undang-Undang (UU) Nomor 11 Tahun 2008 tentang Informasi dan Transaksi Elektronik (UU ITE), sebagaimana diubah dalam UU Nomor 19 Tahun 2016 tentang perubahan atas UU Nomor 11 Tahun 2008 juncto Pasal 55 ayat 1 ke 1.














"
