Judul,Berita,Topik
Megawati Hangestri Berpotensi Ramaikan V-League All-Star 2023-2024,"Megawati juga sempat meraih penghargaan Pemain Terbaik Liga Voli Korea 2023-2024 pada putaran pertama.
Wanita kelahiran 24 September 1999 ini jadi pemain asing Asia pertama yang meraih gelar MVP di kompetisi tersebut.
Prestasi tersebut membuat Megawati mendapat kesempatan emas untuk berpartisipasi pada laga bintang, yaitu V-League All Star Games 2023-2024.
Pertandingan yang akan berlangsung pada 27 Januari 2024 mendatang akan dimainkan di Samsan World Gymnasium, Incheon, Korea Selatan.
Perang bintang ini akan mempertemukan tim K-Stars yang diisi oleh tim dengan peringkat 1,3, serta 5 melawan tim V-Stars yang diisi pemain dari tim peringkat 2,4,6, dan juga peringkat 7.
Peringkat tim yang dinilai berdasarkan ranking tim Liga Voli Korea pada musim lalu.
Megawati yang membela JungKwanJang Red Sparks berpeluang membela V-Stars serta memiliki kesempatan untuk bermain dengan 2 pevoli ternama yaitu Kim Yeon-koung yang merupakan legenda Korea serta Pornpun Guedpard (Thailand).
Meskipun Red Sparks tengah melalui masa performa sulit, catatan individu Megawati dinilai layak untuk bermain pada perang bintang tersebut.
A post shared by Sports Kompascom (@sports.kompascom)
Daftar pemain sendiri akan dilakukan dengan sistem voting.














",BOLA
"Diskon Motor Honda Desember 2023, Tembus Rp 5 Juta","JAKARTA, KOMPAS.com – Beberapa minggu jelang akhir tahun, sejumlah diler menawarkan berbagai promo diskon pembelian motor baru. Tak ketinggalan dari merek Honda yang mendapatkan potongan harga hingga jutaan rupiah pada bulan ini.
Dilansir dari laman resmi Astra Honda (4/12/2023), sejumlah motor Honda tengah mendapat promo pembelian berupa diskon dan special gift pada bulan Desember 2023.
Diskon paling besar pada bulan ini tersedia buat konsumen Honda CBR250RR yang kena potongan Rp 5 juta.
Dok. AHM Ilustrasi Motor sport Honda New CBR250RR
Untuk diketahui, saat ini motor sport 250 cc itu dibanderol mulai Rp 63,456 juta. Artinya setelah dapat diskon menjadi Rp 58,456 juta.
Kemudian, diskon buat motor lainnya berkisar Rp 1 juta. Khususnya buat Honda GTR150, CRF150L, CBR150R, dan CB150R.
Adapun buat Honda CB150X mencapai 1,5 juta. Sedangkan diskon PCX160 sekitar Rp 400.000, dan Vario 160 Rp 500.000.
Sementara itu, konsumen Honda Genio, Scoopy, termasuk CRF150L, bisa mendapatkan special gift atau hadiah langsung.

Berikut ini diskon motor Honda pada Desember 2023:
- Honda GTR150: diskon mulai Rp 1 juta- Honda Genio: special gift mulai Rp 200.000- Honda CB150X: diskon mulai Rp 1,5 juta- Honda CRF150L: diskon mulai Rp 1 juta dan special gift skid plate- Honda PCX160: diskon mulai Rp 400.000- Honda CBR150R: diskon mulai Rp 1 juta- Honda CB150R: diskon mulai Rp 1 juta- Honda Scoopy: special gift- Honda CBR250RR: diskon mulai Rp 5 juta- Honda Vario 160: diskon mulai Rp 500.000 dan special gift
*syarat dan ketentuan berlaku














",OTOMOTIF
"Momen Anak SD Titip Salam buat Prabowo Lewat Gibran, Ingin Foto Bareng","JAKARTA, KOMPAS.com - Seorang siswa SD Pondok Pesantren (Ponpes) Asshiddiqiyah 2 Kota Tangerang menitipkan salam untuk calon presiden (capres) nomor urut 2, Prabowo Subianto, lewat calon wakil presiden (cawapres) Gibran Rakabuming Raka.
Momen itu terjadi saat Gibran mengunjungi Pondok Pesantren Asshiddiqiyah 2, Senin (4/12/2023).
Dalam kesempatan itu, Gibran membagi-bagikan susu dan makan siang gratis untuk para santri. Gibran menyebut, bagi-bagi susu dan makan siang ini merupakan upayanya bersama Prabowo untuk mewujudkan generasi emas di masa mendatang.
“Ini kan tadi juga sudah dapat makan siang ya, sama susu. Kalau ingin menuju Indonesia emas itu otomatis kita harus menyiapkan generasi emasnya,” kata Gibran di hadapan para santri.
“Ini generasi emasnya ya di sini semua, yang anak-anak, yang muda-muda itu harus sehat semua, harus kuat semua, otomatis nanti pasti pintar semua,” tuturnya.
Wali Kota Surakarta tersebut juga membuka sesi tanya jawab dengan santriwan-santriwati.
Di penghujung sesi tanya jawab, Gibran mendapat kejutan pemberian buket bunga oleh salah seorang siswi SD. Siswi yang tak diketahui namanya itu juga menyampaikan terima kasih atas pemberian susu dari Gibran.
“Makasih Mas Gibran atas pemberian susunya di hari pertama kami ujian, hati senang. Sering-sering ke sini ya, membawa susu yang banyak,” kata siswi tersebut disambut riuh tepuk tangan para santri dan pengajar Ponpes Asshiddiqiyah 2.
“Kita punya hadiah untuk Mas Gibran, mohon diterima,” ucap siswi itu.
Siswi tersebut lantas naik ke atas panggung untuk memberikan buket bunga warna merah muda untuk Gibran. Sambil tersenyum, Gibran menerima buket bunga itu.
Tak lama, salah seorang siswa yang juga berseragam putih-merah ikut naik ke atas panggung, memberikan buket bunga untuk Gibran. Buket bunga kedua ini berwarna biru muda.
Gibran kembali menerima bunga itu. Sejenak, ia mengajak siswa-siswi tersebut berbincang. Mereka lantas berfoto bersama.
Di tengah momen itulah, siswa yang tak diketahui namanya tersebut menitipkan salam untuk Prabowo lewat Gibran.
Menanggapi siswa itu, Gibran bertanya ke siswa tersebut mengenai apa yang hendak disampaikan seandainya bertemu Prabowo.
“Memang kalau ketemu Pak Prabowo mau ngomong apa?” tanya Gibran sambil tertawa.














",NEWS
Mitsubishi Triton Terbaru Raih Bintang Lima Tes Tabrak ASEAN NCAP,"JAKARTA, KOMPAS.com - Mitsubishi Triton tidak hanya mendapatkan penyegaran, tapi mengalami cukup banyak peningkatan. Belum lama ini, Triton generasi terbaru berhasil mendapatkan penilaian tertinggi pada tes tabrak.
Dikutip dari ASEAN NCAP, Senin (4/12/2023), Triton terbaru mendapatkan penilaian bintang lima pada tes tabrak ASEAN New Car Assessment Program (NCAP).
Triton menjadi pikap kabin ganda pertama yang menjalani protokol 2021-2025, di mana protokol ini lebih ketat dan mencakup empat kategori penilaian.
Dok. ASEAN NCAP Tes tabrak ASEAN NCAP pada Mitsubishi Triton
Pertama, ada Perlindungan Penumpang Dewasa atau Adult Occupant Protection (AOP) yang mencakup 40 poin dari skor keseluruhan.
Kedua, ada Perlindungan Penumpang Anak atau Child Occupant Protection (COP). Selanjutnya, ada Bantuan Keselamatan atau Safety Assist (SA), dan Keselamatan Pengendara Sepeda Motor atau Motorcyclist Safety (MS) yang masing-masing menyumbangkan 20 poin.
Dalam penilaian ini, kualitas rancang bangun dan teknologi keselamatan standar Triton yang baru menunjukkan performa yang sangat baik.
Mobil ini mendapat nilai 32,52 poin di AOP, lalu 17,54 poin di COP, kemudian 14,44 poin untuk SA, dan 10,22 poin untuk penilaian MS.
Sehingga, mendapatkan skor total 74,71 poin. Skor tersebut cukup bagi Triton untuk mendapatkan peringkat bintang lima dari ASEAN NCAP.
Dok. ASEAN NCAP Tes tabrak ASEAN NCAP pada Mitsubishi Triton
Fitur keselamatan standar Triton untuk semua variannya meliputi enam airbag, Anti-lock Braking System (ABS), Electronic Stability Control (ESC), Electronic Brake-force Distribution (EBD), Brake Assist (BA), Seat Belt Reminder System (SBR) untuk pengemudi dan penumpang depan, serta teknologi Pedestrian Protection.
Selain itu, Mitsubishi Motors juga sudah menyematkan fitur keamanan lainnya, seperti Autonomous Emergency Braking, Lane Departure Warning, Forward Collision Warning, Blind Spot Monitoring, Auto High Beam, serta Hill-Start Assist dan Hill-Descent Control.














",OTOMOTIF
"KSAD Maruli: Dulu Doni Monardo Jagoan, kalau Beliau Sudah Negur, Kita Bangga Sekali","Maruli mengatakan, sangat banyak yang diwariskan Doni Monardo di TNI, baik dari segi latihan maupun penugasan.
“Jadi dulu waktu zaman saya perwira remaja, beliau itu termasuk figur kami, jagoannya. Jadi, kalau sudah beliau sudah menegur kita, itu kita bangga sekali,” kata Maruli usai prosesi pemakaman Doni Monardo di Taman Makam Pahlawan (TMP) Kalibata, Jakarta Selatan, Senin (4/12/2023).
Maruli mengatakan, Doni Monardo merupakan sosok yang lengkap dalam hal latihan, penugasan, maupun tentang lingkungan.
“Saya merasa kehilangan, sangat kehilangan, karena beliau sampai terakhir menjelang pensiun itu kiprahnya masih banyak,” ujar Maruli.
“Terakhir sampai bikin pengobatan di Intan Jaya (Papua), kiprahnya tidak pernah berhenti. Mudah-mudahan kita generasi muda bisa melanjutkan,” katanya lagi.
Diketahui, Doni Monardo dimakamkan secara militer di Taman Makam Pahlawan (TMP) Kalibata, hari ini, Senin.
Doni Monardo sebelumnya meninggal di RS Siloam Jakarta pada Minggu (3/12/2023) kemarin, sekitar pukul 17.35 WIB.
Sebelumnya, mantan Panglima Kodam (Pangdam) III/Siliwangi dan Komandan Jenderal (Danjen) Kopassus itu sudah tiga bulan sakit dan dirawat.
Kabar sakitnya Doni Monardo diketahui melalui sebuah video yang dibuat adik kandungnya, Ogi Rulino pada September 2023.














",NEWS
"Mahfud Mengaku Kaget DPR Diam-diam Revisi UU MK, padahal Tak Masuk Prolegnas","JAKARTA, KOMPAS.com - Menteri Koordinator Bidang Politik, Hukum, dan Keamanan (Menko Polhukam) Mahfud MD mengaku kaget dengan langkah DPR yang diam-diam melakukan revisi terhadap Undang-Undang Mahkamah Konstitusi (MK).
Padahal, revisi UU MK tidak masuk dalam Program Legislasi Nasional (Prolegnas) Prioritas 2023.
""Kita juga kaget karena itu tidak ada di Prolegnas, tapi setelah kita konsultasikan ya mungkin, ya ada kebutuhan, ya kita layani,"" kata Mahfud ditemui di Kantor Kemenko Polhukam, Jakarta, Senin (4/12/2023).
 Kendati revisi itu tak masuk prolegnas, Mahfud mengaku bahwa pihaknya terus melayani usulan DPR untuk mengubah UU MK.
 Dalam hal ini, Mahfud akan hadir mewakili pemerintah untuk berdiskusi dengan DPR.
 Ia mengingatkan agar proses revisi UU MK jangan sampai merugikan berbagai pihak, terlebih revisi itu bakal diketok menjelang Pemilu 2024.
 ""Tetapi dengan prinsip tidak boleh merugikan apalagi menimbulkan hal-hal atau dugaan yang tadi ditanyakan,"" imbuh dia.
 Di sisi lain, Mahfud berpandangan revisi UU MK sejatinya tidak memiliki urgensi.
Dia menyatakan, jika ada unsur kegentingan, seharusnya jalan yang ditempuh melalui Peraturan Pemerintah Pengganti Undang-Undang (Perppu).
 ""Kalau Perppu baru ada unsur kegentingan. Dalam hal ikhwal, kegentingannya ini ndak ada. Tetapi ini diusulkan oleh DPR,"" ungkap calon wakil presiden nomor urut 3 ini.
 Diberitakan sebelumnya, dikutip Harian Kompas, revisi Undang-Undang Mahkamah Konstitusi berlangsung senyap.
 Bukannya digelar di ruang Komisi III Dewan Perwakilan Rakyat, revisi itu dibahas di Hotel Ritz-Carlton, Jakarta, pada Selasa-Rabu (28-29/11/2023).
 Bahkan, pembahasannya ditargetkan tuntas pada masa sidang ini yang akan berakhir pada 5 Desember 2023.
Padahal, revisi undang-undang ini tak pernah masuk dalam daftar Prolegnas Prioritas 2023.
 Meski Komisi III DPR dan pemerintah sudah sepakat untuk membahas perubahan keempat Undang-Undang Nomor 24 Tahun 2003 tentang Mahkamah Konstitusi pada Februari 2023, kabar pembahasan rancangan undang-undang tersebut tak pernah terdengar. 














",NEWS
"Praperadilan, Kubu Panji Gumilang Nilai Proses Hukum Tergesa-gesa","Hal ini disampaikan tim penasihat hukum Panji Gumilang dalam surat permohonan gugatan praperadilan melawan Subdit I Dittipidum Bareskrim Polri dan Jaksa Penuntut Umum (JPU) Kejaksaan Agung.
Adapun gugatan nomor perkara 122/Pid.Pra/2023/PN JKT.SEL ini terdaftar di PN Jakarta Selatan pada Senin 30 Oktober 2023 dengan klasifikasi sah atau tidaknya penetapan tersangka.
“Bahwa termohon terlalu tergesa-gesa dalam menetapkan tersangka,” kata tim hukum Panji Gumilang dalam sidang di Pengadilan Negeri (PN) Jakarta Selatan, Senin (4/12/2023).
Kubu Panji Gumilang berpandangan, polisi menetapkan kliennya sebagai tersangka lantaran terpengaruh media yang dianggap mempersepsikan kliennya sebagai penista agama. Padahal, proses penyidikan khususnya berita acara pemeriksaan (BAP) yang dilakukan terhadap Panji Gumilang belum selesai dilakukan.
“Namum termohon secara tergesa-gesa dan tidak cermat langsung melakukan gelar perkara dan penetapan sebagai tersangka secara marathon,” kata Tim Hukum Panji Gumilang.
Dalam gugatannya, kubu pimpinan Ponpes Al Zaytun ini menyebutkan dalam hitungan jam kliennya yang saat itu diperiksa sebagai saksi langsung ditetapkan sebagai tersangka.
Bahkan, terhadap Panji Gumilang dikeluarkan surat perintah penangkapan dan perintah penahanan dalam satu malam. Sehingga seluruh surat-surat perintah tersebut terjadi hanya dalam satu malam.
“Maka BAP yang dilakukan terhadap pemohon dan adanya kejadian yang disangkakan adalah tidak sah dan cacat hukum, maka harus dikesampingkan dari berkas perkara,” kata Tim Hukum Panji Gumilang.
Diketahui, perkara dugaan penistaan agama oleh Panji Gumilang saat ini tengah diadili di PN Indramayu, Jawa Barat.
Dalam kasus ini, Panji disangka melanggar Pasal 14 Ayat (1) Subsider Pasal 14 Ayat (2) Subsider Pasal 15 Undang-Undang Nomor 1 Tahun 1946 atau Pasal 156a Ayat (1) KUHP atau Pasal 45A Ayat (2) Jo. Pasal 28 Ayat (2) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan atas Undang-Undang Nomor 11 Tahun 2008 tentang Informasi dan Transaksi Elektronik (ITE).
Dia diduga melakukan dugaan tindak pidana dengan sengaja di muka umum menyiarkan berita atau pemberitaan bohong yang bersifat permusuhan, penyalahgunaan atau penodaan terhadap suatu agama, serta dengan sengaja menerbitkan keonaran di kalangan masyarakat terkait hal suku, agama, ras, dan antargolongan (SARA).














",NEWS
"20 PTN Terbaik di ASEAN pada 2024, Adakah Kampus Indonesia?","KOMPAS.com - Lembaga pemeringkatan AppliedHE telah merilis pemeringkatan perguruan tinggi terbaik di ASEAN untuk tahun 2024.
Dari hasil pemeringkatan AppliedHE 2024, ada 20 perguruan tinggi negeri (PTN) terbaik di wilayah ASEAN.
Dilansir dari laman AppliedHE, Senin (4/12/2023), memberitahukan ada 80 PTN terbaik di ASEAN yang masuk pemeringkatan AppliedHE 2024.
Adapun PTN di ASEAN ini meliputi kampus-kampus yang datang dari Kamboja, Indonesia, Filipina, Thailand, Vietnam, Brunei Darussalam, Malaysia, dan Singapura.
Pelaksanaan penilaian PTN terbaik di ASEAN versi AppliedHE secara umum, yakni kualitas belajar belajar mengajar (40 persen), kemampuan lulusan mendapat kerja (15 persen), riset (15 persen), keterlibatan dengan masyarakat (10 persen), internasionalisasi (10 persen), dan reputasi institusional (10 persen).
Nah, apa saja 20 PTN terbaik di ASEAN versi pemeringkatan AppliedHE 2024? Apakah ada kampus yang datang dari Indonesia? Berikut daftarnya seperti melansir laman AppliedHE:
1. Universiti Kebangsaan Malaysia (UKM), Malaysia (skor: 75,94).
2. National University of Singapore (NUS), Singapura (skor: 73,73).
3. IPB University , Indonesia (skor: 73,67).
4. Nanyang Technological University (NTU), Singapura (skor: 73,19).














",EDUKASI
Mabes TNI Berencana Ajukan Doni Monardo sebagai Pahlawan Nasional,"JAKARTA, KOMPAS.com - Markas Besar (Mabes) TNI berencana mengajukan mantan Kepala Badan Nasional Penanggulangan Bencana (BNPB) Letjen (Purn) TNI Doni Monardo sebagai pahlawan nasional.
 Panglima TNI Jenderal Agus Subiyanto mengatakan, syarat pengajuan menjadi pahlawan nasional ada aturannya tersendiri.
 Lewat Asisten Personel-nya, Panglima Agus menyebutkan akan memberi usulan kepada pemerintah.
 “Nanti itu ada aturannya nanti, di bidang personel nanti kami akan mengusulkan. Nanti ada kriteria yang diatur, bidang personel yang mengatur kalau sudah final,” kata Agus usai proses pemakaman di Taman Makam Pahlawan (TMP) Kalibata, Jakarta Selatan, Senin (4/12/2023).
 Mabes TNI, sebut Agus, akan mengumpulkan penghargaan atau brevet yang diterima Doni selama berkiprah di militer.
 “Jasa yang didapatkan beliau dari negara,” kata Agus.
 “Nanti bidang personel yang akan mengkaji,” ucap Panglima TNI.
 Adapun Doni Monardo dimakamkan secara militer di TMP Kalibata, Senin. Pantauan di lokasi, jenazah Doni tiba di TMP Kalibata sekira pukul 10.56 WIB dari Markas Komando Pasukan Khusus (Kopassus), Cijantung, Jakarta Timur.
 Jenazah mantan Komandan Jenderal (Danjen) Kopassus itu kemudian disambut oleh Panglima Agus beserta jajaran.
 Dengan simbolis tembakan ke udara dari pintu gerbang TMP Kalibata, jenazah kemudian dibawa ke tempat peristirahatan terakhir oleh tiga prajurit Kopassus dan tiga prajurit Kostrad.
 Di belakang diiringi oleh Panglima Agus, para keluarga Doni Monardo, beserta Kepala Staf TNI AD (KSAD) Jenderal Maruli Simanjuntak, Kepala Staf Umum TNI Letjen Bambang Ismawan, Koordinator Staf Ahli KSAD Letjen I Nyoman Cantiasa, Kepala Staf Kostrad Mayjen Muhammad Saleh Mustafa, dan para jajaran TNI AD lain.
 Bertindak sebagai Inspektur Upacara (Irup) adalah Panglima Agus.
 Sebelum dikebumikan, sekali lagi secara simbolis dilaksanakan tembakan ke udara. 
 Mantan wakil presiden RI Try Sutrisno dan Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan (Menko PMK) Muhadjir Effendy secara simbolis meletakkan karangan bunga di atas makam.
 Prosesi pemakaman yang diwarnai dengan tabur bunga oleh pihak keluarga hingga penimbuman liang lahat itu selesai sekira pukul 11.52 WIB. Pemakaman ditutup dengan penghormatan senjata.
 Tampak hadir sejumlah tokoh dan politisi lain di lokasi seperti mantan wakil presiden RI Boediono, mantan Kepala BIN Jenderal (Purn) AM Hendropriyono, Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono, hingga Ketua DPP PDI-P Djarot Saiful Hidayat.
 Adapun kabar pertama meninggalnya Doni Monardo didapat dari tenaga ahli BNPB periode 2019-2023 Egy Massadiah.
 Doni Monardo dinyatakan meninggal di RS Siloam Jakarta pada Minggu (3/12/2023) kemarin, sekitar pukul 17.35 WIB.
 Sebelumnya, mantan Panglima Kodam III/Siliwangi dan Komandan Paspampres itu sudah tiga bulan sakit dan dirawat. Hal ini terungkap melalui sebuah video adik kandung Doni, Ogi Rulino.














",NEWS
"Jadwal Siaran Langsung Bali United Vs Arema Liga 1, Kickoff 15.00 WIB","KOMPAS.com - Bali United akan bersua dengan Arema FC dalam lanjutan pekan ke-21 Liga 1 2023-2024, Senin (4/12/2023), kickoff dimulai pukul 15.00 WIB.
Laga  Liga 1 2023-2024 tersebut akan berlangsung di Stadion Kapten I Wayan Dipta, Gianyar, Bali. 
Menghadapi Arema, Bali United enggan menganggap enteng, pasalnya tim berjuluk Singo Edan tersebut sedang berupaya keluar dari zona degradasi.
Arema yang sedang berada di urutan ke-16 dengan torehan 18 poin tentu menargetkan poin penuh.
Oleh sebab itu, skuad besutan Stefano ""Teco"" Cugurra ini berupaya mengantisipasi motivasi tinggi para pemain lawan.
“Kita tahu situasi di liga, pasti mereka butuh poin untuk keluar dari posisi sulit mereka sekarang. Pasti pertandingan menarik, kita sudah lihat tayangan main beberapa kali,"" ujar Teco dikutip dari situs Liga Indonesia Baru, Senin (4/12/2023).
""Arema mempunyai pemain berkualitas di sana, kami harus respek ke pemain mereka.” 
A post shared by Sports Kompascom (@sports.kompascom)
Anak asuh Teco sendiri sedang berada di tren positif, di mana mereka berhasil memetik kemenangan dalam dua pertandingan terakhir. 
Terakhir, Bali United berhasil menundukkan Stallion Laguna FC (Filipina) 5-2 di ajang AFC Cup, kemenangan ini sekaligus menjadi modal baik menghadapi Arema.
“Kami bisa menang lawan tim juara Filipina dengan lima gol. Mudah-mudahan kami bisa main bagus seperti yang kemarin lawan tim dari Filipina, biar bisa menang lagi,” tuturnya.














",BOLA
Legenda FIFA Ungkap Rahasia Keberhasilan Jerman di Indonesia 2023,"KOMPAS.com - Anggota Technical Study Group atau Tim Studi Teknik FIFA, Pascal Zuberbuhler, mengutarakan beberapa hal yang membuat Timnas Jerman berjaya di Piala Dunia U17 2023.
Duel Jerman vs Perancis pada final Piala Dunia U17 2023 di Stadion Manahan, Solo, Jawa Tengah, Sabtu (2/12/2023) malam WIB.
Jerman keluar sebagai juara setelah memenangi adu penalti dengan skor 4-3. 
Ini merupakan gelar Piala Dunia U17 perdana bagi Jerman. Selain itu, Jerman juga menjadi tim pertama yang mengawinkan trofi Euro 17 dan Piala Dunia U17 pada tahun sama.
Sepanjang turnamen, Jerman tak terkalahkan pada laga 90 menit dan hanya bisa ditahan ke babak adu penalti pada laga semifinal kontra Argentina dan final ini.
Zuberbuhler mengutarakan bahwa kunci keberhasilan timnas Jerman terletak tidak hanya di kehebatan pemain-pemain individual mereka seperti kiper Konstantin Heide, kapten Noah Darvich, dan Paris Brunner, sang pemain terbaik turnamen.
Menurutnya, kunci keberhasilan Jerman ada di rasa kebersamaan tinggi dan keharmonisan dalam tim.
""Saya juga harus katakan, Jerman punya pelatih-pelatih bagus dalam diri Christian Wieck dan juga Jens Nowotny, rekan bermain saya di Bayer Leverkusen,"" tuturnya secara eksklusif kepada Kompas.com pada pagi hari sebelum final.
""Saya bertemu mereka dan mengobrol di sini. Mereka punya harmoni luar biasa di antara staff kepelatihan, di dalam grup.""
""Anda bisa merasakan dan melihat ini. Bagaimana mereka menang lawan Spanyol dan melawan Argentina.""














",BOLA
Doni Monardo Dimakamkan secara Militer di TMP Kalibata,"JAKARTA, KOMPAS.com - Mantan Kepala Badan Nasional Penanggulangan Bencana (BNPB) Letjen (Purn) TNI Doni Monardo dimakamkan secara militer di Taman Makam Pahlawan (TMP) Kalibata, Pancoran, Jakarta Selatan, Senin (4/12/2023).
Pantauan di lokasi, jenazah Doni tiba di TMP Kalibata sekira pukul 10.56 WIB usai diberangkatkan dari Markas Komando Pasukan Khusus (Kopassus), Cijantung, Jakarta Timur.
Jenazah mantan Komandan Jenderal (Danjen) Kopassus itu kemudian disambut oleh Panglima TNI Jenderal Agus Subiyanto beserta jajaran.
Dengan simbolis tembakan ke udara dari pintu gerbang TMP Kalibata, jenazah kemudian dibawa ke tempat peristirahatan terakhir oleh tiga prajurit Kopassus dan tiga prajurit Kostrad.
Di belakang diiringi oleh Panglima Agus, para keluarga Doni Monardo, beserta Kepala Staf TNI AD (KSAD) Jenderal Maruli Simanjuntak, Kepala Staf Umum TNI Letjen Bambang Ismawan, Koordinator Staf Ahli KSAD Letjen I Nyoman Cantiasa, Kepala Staf Kostrad Mayjen Muhammad Saleh Mustafa, dan para jajaran TNI AD lain.
Bertindak sebagai Inspektur Upacara (Irup) adalah Panglima Agus.
Sebelum dikebumikan, sekali lagi secara simbolis dilaksanakan tembakan ke udara.
Wakil Presiden ke-6 RI Try Sutrisno dan Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan (Menko PMK) Muhadjir Effendy secara simbolis meletakkan karangan bunga di atas makam.
Prosesi pemakaman yang diwarnai dengan tabur bunga oleh pihak keluarga hingga penimbunan liang lahat itu selesai sekira pukul 11.52 WIB. Pemakaman ditutup dengan penghormatan senjata.
Tampak hadir sejumlah tokoh dan politisi lain di lokasi seperti Wakil Presiden ke-11 RI Boediono, mantan Kepala BIN Jenderal (Purn) AM Hendropriyono, Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono, hingga Ketua DPP PDI-P Djarot Saiful Hidayat.
KOMPAS.com/NIRMALA MAULANA A Mantan Kepala Badan Nasional Penanggulangan Bencana (BNPB) Letjen (Purn) TNI Doni Monardo dimakamkan secara militer di Taman Makam Pahlawan (TMP) Kalibata, Pancoran, Jakarta Selatan, Senin (4/12/2023).  Pantauan di lokasi, jenazah Doni tiba di TMP Kalibata sekira pukul 10.56 WIB dari Markas Komando Pasukan Khusus (Kopassus), Cijantung, Jakarta Timur.
Adapun kabar pertama meninggalnya Doni Monardo didapat dari tenaga ahli BNPB periode 2019-2023 Egy Massadiah.
Doni Monardo dinyatakan meninggal di RS Siloam Jakarta Selatan pada Minggu (3/12/2023) kemarin, sekitar pukul 17.35 WIB.
Sebelumnya, mantan Panglima Kodam III/Siliwangi dan Komandan Paspampres itu sudah tiga bulan sakit dan dirawat. Hal ini terungkap melalui sebuah video adik kandung Doni, Ogi Rulino.
""Kami sebagai adik kandung Letjen TNI Purnawirawan Doni Monardo, ingin menyampaikan keadaan Bapak Doni Monardo pada saat ini,"" kata Ogi dalam video yang diterima Kompas.com pada 22 September 2023.
""Benar bahwa Pak Doni Monardo sedang dirawat secara intensif di suatu rumah sakit, di bawah pengawasan tim dokter,"" kata Ogi.














",NEWS
Cak Imin Ingin Perbanyak Pabrik Gula untuk Kurangi Ketergantungan Impor," Ia mengatakan, langkah itu mesti ditempuh untuk mengurangi ketergantungan impor pasokan gula. 
 “Kita harus memperbanyak pabrik gula baru yang skala mikro maupun besar,” ucap Muhaimin di Pasar Raya Padang, Sumatera Barat, Senin (4/12/2023).
Baginya, tak ada jalan lain selain menambah produksi gula dalam negeri untuk memastikan stok aman.
 Pasalnya, langkanya stok gula akan berdampak pada kenaikan harga, yang bakal memberatkan pedagang maupun pembeli.
 “Dari pada ketergantungan impor dan harga yang mahal, distribusinya menjadi rumit, ya kita lebih baik produksi,” tutur dia.
 Adapun dalam kunjungan ke Pasar Raya, Muhaimin mendapatkan keluhan naiknya harga bahan pokok seperti cabai dan gula.
 Ia mengungkapkan, harga gula mencapai Rp 16.000 per kilogram. Sedangkan cabai ada di harga Rp 162.000 - Rp 164.000 per kilogram.
 Ia menyatakan, pemerintah harus memiliki desain pasar yang jelas dengan rencana setiap tiga bulan.
 Menurut Muhaimin, pemerintah harus bisa memastikan pasokan pangan tetap terjaga di akhir tahun.
 Ia pun merasa kenaikan harga tiap akhir tahun bukan persoalan yang biasa.
 “Harga naik itu bukan biasa. Harga naik itu harus diantisipasi,” imbuh dia. 














",NEWS
TPN Ganjar-Mahfud Angkat Bicara Usai Limbad Dikenalkan sebagai Pendukung Prabowo,"JAKARTA, KOMPAS.com - Wakil Ketua Tim Pemenangan Nasional (TPN) Ganjar Pranowo-Mahfud MD, Andika Perkasa mengaku pihaknya akan menelusuri dulu apakah pesulap Limbad ada dalam struktur TPN atau tidak.
Ini disampaikan usai ditanya momen Limbad dihadirkan dalam kampanye pasangan calon presiden dan wakil presiden nomor urut 2, Prabowo Subianto-Gibran Rakabuming Raka di Tasikmalaya, Jawa Barat.
Saat itu Limbad juga dikenalkan sebagai pendukung Prabowo-Gibran padahal dia disebut masuk TPN sebagai juru kampanye.
""Nah kalau Mas Limbad ini kita cek dulu, Mas ya,"" kata Andika ditemui di Gedung High End, Jakarta Pusat, Minggu (3/12/2023) malam.
Andika kemudian menjelaskan bagaimana pihaknya merekrut orang-orang untuk bergabung ke TPN.
Pertama, TPN membuka beragam usulan tokoh-tokoh dari partai politik maupun kalangan profesional untuk nama-nama yang segera bergabung.
""Jadi kita telusuri dulu waktu itu, ini (Limbad) usulan siapa,"" imbuh Andika.
Mantan Panglima TNI ini menerangkan, setelah diketahui Limbad bergabung karena usulan pihak tertentu, maka TPN baru bisa mengambil sikap selanjutnya.
Ia memperkirakan keputusan soal nama-nama masuk dalam struktural organisasi itu bisa diketahui pada rapat rutin TPN mingguan setiap hari Rabu.
""Kemudian berdasarkan kejadian kemarin apa tindak lanjutnya. Saya yakin Rabu besok sudah ada keputusan. Rabu kan biasa rapat mingguan TPN,"" pungkas Andika.
Sebelumnya, Ketua Tim Kampanye Daerah (TKD) Prabowo Subianto-Gibran Rakabuming Raka Jawa Barat, Ridwan Kamil (Kang Emil) memperkenalkan Limbad sebagai pendukung capres nomor urut 2 Prabowo.
Adapun Limbad baru-baru ini masuk ke dalam daftar Juru Kampanye (Jurkam) TPN Ganjar-Mahfud.
Ridwan Kamil juga berkelakar dengan menyebut Limbad merupakan sosok yang sangat cerewet.
Padahal, seperti diketahui, Limbad merupakan sosok pesulap yang selalu tampil secara diam tanpa berbicara.














",NEWS
